event_id,timestamp,user,source_ip,result,mfa
E001,2026-09-01T08:55:00Z,alex,192.0.2.10,SUCCESS,PASSED
E002,2026-09-01T08:56:00Z,beth,192.0.2.11,SUCCESS,PASSED
E003,2026-09-01T08:57:00Z,chen,192.0.2.12,FAILURE,NOT_REACHED
E004,2026-09-01T08:57:30Z,chen,192.0.2.12,SUCCESS,PASSED
E005,2026-09-01T09:00:00Z,alex,198.51.100.23,FAILURE,NOT_REACHED
E006,2026-09-01T09:00:10Z,beth,198.51.100.23,FAILURE,NOT_REACHED
E007,2026-09-01T09:00:20Z,chen,198.51.100.23,FAILURE,NOT_REACHED
E008,2026-09-01T09:00:30Z,dana,198.51.100.23,FAILURE,NOT_REACHED
E009,2026-09-01T09:00:40Z,ellis,198.51.100.23,FAILURE,NOT_REACHED
E010,2026-09-01T09:01:00Z,dana,192.0.2.13,SUCCESS,PASSED
E011,2026-09-01T09:02:00Z,ellis,203.0.113.44,FAILURE,NOT_REACHED
E012,2026-09-01T09:02:05Z,ellis,203.0.113.44,FAILURE,NOT_REACHED
E013,2026-09-01T09:02:10Z,ellis,203.0.113.44,FAILURE,NOT_REACHED
E014,2026-09-01T09:02:15Z,ellis,203.0.113.44,FAILURE,NOT_REACHED
E015,2026-09-01T09:02:20Z,ellis,203.0.113.44,FAILURE,NOT_REACHED
E016,2026-09-01T09:02:25Z,ellis,203.0.113.44,FAILURE,NOT_REACHED
E017,2026-09-01T09:02:30Z,ellis,203.0.113.44,SUCCESS,NOT_REQUIRED
E018,2026-09-01T09:03:00Z,beth,192.0.2.11,SUCCESS,PASSED
E019,2026-09-01T09:04:00Z,alex,198.51.100.23,FAILURE,NOT_REACHED
E020,2026-09-01T09:04:10Z,beth,198.51.100.23,FAILURE,NOT_REACHED
E021,2026-09-01T09:04:20Z,chen,198.51.100.23,FAILURE,NOT_REACHED
E022,2026-09-01T09:04:30Z,dana,198.51.100.23,FAILURE,NOT_REACHED
E023,2026-09-01T09:04:40Z,ellis,198.51.100.23,FAILURE,NOT_REACHED
E024,2026-09-01T09:05:00Z,alex,192.0.2.10,SUCCESS,PASSED
